Command,Action
please put my doctor appt with the PA at newport family medicine in my calendar for thursday June 23rd and remind me 30 minutes in advanced, creating calendar events
Jarvis can you play something from Spotify,play Spotify
hey Jarvis create a calendar event titled going into the city for tomorrow at 11 a.m.,creating calendar events
hey jarvis open facebook,open website
hey jarvis open applications folder,opening folders
hey jarvis go to sleep,toggling between having to say hey Jarvis
hey jarvis what are the news headlines saying,reading news
hey jarvis what is in the news,reading the news
hey jarvis what's going on in the world,reading the news
hey jarvis,simple toggle
hey jarvis play a marvel movie,prompt the user
hey jarvis play the marvel movie iron man,Marvel movie
alright thanks that's all Jarvis,make the awake variable false
